UniProtKB_AC,Ensembl_Protein
Q6PCD5,ENSP00000354361
P57735,ENSP00000354376
P17032,ENSP00000354377
P42224,ENSP00000354394
Q7L945,ENSP00000354414
Q9NRJ3,ENSP00000354416
Q9BXX3,ENSP00000354432
R4GNA2,ENSP00000354432
Q9Y519,ENSP00000354441
Q86VI3,ENSP00000354451
Q6ZN57,ENSP00000354453
P07357,ENSP00000354458
Q8N4B1,ENSP00000354461
A0A8J8YWN6,ENSP00000354468
Q12772,ENSP00000354476
P56177,ENSP00000354478
Q9C0B6,ENSP00000354481
Q5VZP5,ENSP00000354483
P19237,ENSP00000354488
P50993,ENSP00000354490
Q9Y2M0,ENSP00000354497
Q86UU1,ENSP00000354498
P00395,ENSP00000354499
Q9NRM2,ENSP00000354501
O75129,ENSP00000354504
P21964,ENSP00000354511
Q96NB3,ENSP00000354518
P11387,ENSP00000354522
Q96A35,ENSP00000354525
P00491,ENSP00000354532
O14525,ENSP00000354536
O75157,ENSP00000354543
Q9UJL9,ENSP00000354547
Q8WWB7,ENSP00000354553
P00156,ENSP00000354554
P42345,ENSP00000354558
Q92845,ENSP00000354560
P07766,ENSP00000354566
Q9H920,ENSP00000354571
Q9UPN3,ENSP00000354573
Q7Z2W9,ENSP00000354580
P59796,ENSP00000354581
O75121,ENSP00000354583
Q8WV19,ENSP00000354590
O75064,ENSP00000354597
Q13467,ENSP00000354607
Q9UMR5,ENSP00000354608
P19961,ENSP00000354610
P23219,ENSP00000354612
Q9HCE7,ENSP00000354621
Q96C34,ENSP00000354622
Q9P202,ENSP00000354623
P00846,ENSP00000354632
Q15544,ENSP00000354633
Q96I76,ENSP00000354645
Q9H0U3,ENSP00000354649
A0A087WU53,ENSP00000354649
P25929,ENSP00000354652
Q9UBF1,ENSP00000354660
P03923,ENSP00000354665
Q8N5J2,ENSP00000354669
Q6P0Q8,ENSP00000354671
Q96SL4,ENSP00000354677
O60313,ENSP00000354681
Q2M218,ENSP00000354683
Q9Y2D9,ENSP00000354686
P03886,ENSP00000354687
Q8TCE6,ENSP00000354688
Q96H72,ENSP00000354689
Q96RD9,ENSP00000354691
Q12802,ENSP00000354718
Q9UQE7,ENSP00000354720
Q9H2B4,ENSP00000354721
O14602,ENSP00000354722
Q7Z2G1,ENSP00000354723
Q3KNV8,ENSP00000354724
P03901,ENSP00000354728
B1AHC3,ENSP00000354732
Q9Y2G9,ENSP00000354733
P30050,ENSP00000354739
Q96P70,ENSP00000354742
Q9Y2R0,ENSP00000354762
Q9H7P6,ENSP00000354772
Q5W111,ENSP00000354774
O43164,ENSP00000354775
A7MCY6,ENSP00000354777
Q9UHC6,ENSP00000354778
P20963,ENSP00000354782
A0A804CDA6,ENSP00000354791
Q96K83,ENSP00000354794
Q5T280,ENSP00000354812
P03915,ENSP00000354813
Q6GPH4,ENSP00000354822
Q05682,ENSP00000354826
Q86VZ5,ENSP00000354829
Q96D03,ENSP00000354830
Q92974,ENSP00000354837
O94900,ENSP00000354842
Q96EK5,ENSP00000354848
O60502,ENSP00000354850
Q14494,ENSP00000354855
P14416,ENSP00000354859
O14829,ENSP00000354871
O43236,ENSP00000354874
P00403,ENSP00000354876
Q7Z4S6,ENSP00000354878
O75901,ENSP00000354884
Q6Q0C1,ENSP00000354886
Q4G0S7,ENSP00000354888
Q96GL9,ENSP00000354891
P08034,ENSP00000354900
Q07325,ENSP00000354901
O14511,ENSP00000354910
Q96CG3,ENSP00000354911
Q9HCI5,ENSP00000354912
Q9UNH5,ENSP00000354916
G3XAE9,ENSP00000354917
Q14D04,ENSP00000354919
Q8N6R0,ENSP00000354920
P11532,ENSP00000354923
Q99759,ENSP00000354927
Q7Z3S9,ENSP00000354929
Q15399,ENSP00000354932
P47755,ENSP00000354947
Q9UQC2,ENSP00000354952
Q8IY18,ENSP00000354957
P81408,ENSP00000354958
Q8IYK4,ENSP00000354960
P03905,ENSP00000354961
Q5VUA4,ENSP00000354964
Q5VZE5,ENSP00000354972
P00414,ENSP00000354982
Q86TB3,ENSP00000354991
P45844,ENSP00000354995
P20264,ENSP00000355001
Q12905,ENSP00000355011
Q6PD62,ENSP00000355013
Q8NG27,ENSP00000355014
Q7L2K0,ENSP00000355022
O94989,ENSP00000355026
Q86Y13,ENSP00000355028
P03891,ENSP00000355046
Q8WYA6,ENSP00000355050
Q15543,ENSP00000355051
P17040,ENSP00000355053
Q9HCE6,ENSP00000355060
Q96DD7,ENSP00000355064
Q8WV22,ENSP00000355077
Q9HCL0,ENSP00000355082
Q9NZV6,ENSP00000355084
Q6P4F7,ENSP00000355090
Q96PU8,ENSP00000355094
Q9H4F8,ENSP00000355110
Q5T6F0,ENSP00000355114
Q6GPH6,ENSP00000355121
P08727,ENSP00000355124
O75052,ENSP00000355133
P14653,ENSP00000355140
Q9NZV5,ENSP00000355141
Q8TCU5,ENSP00000355155
Q9BXA5,ENSP00000355156
Q96LA5,ENSP00000355157
Q8IY51,ENSP00000355162
Q5BKY1,ENSP00000355166
Q86X24,ENSP00000355167
P12109,ENSP00000355180
Q6PJP8,ENSP00000355185
Q86VH5,ENSP00000355187
Q13698,ENSP00000355192
Q8WXK4,ENSP00000355195
O15480,ENSP00000355198
Q8TC76,ENSP00000355204
P03897,ENSP00000355206
P05204,ENSP00000355228
Q14457,ENSP00000355231
Q9Y5S2,ENSP00000355237
Q8NA69,ENSP00000355241
P55771,ENSP00000355245
Q14209,ENSP00000355249
Q2KHM9,ENSP00000355250
Q8NB15,ENSP00000355251
Q8TAE6,ENSP00000355260
Q9UPR3,ENSP00000355261
P03928,ENSP00000355265
Q9UIV1,ENSP00000355279
A0A2U3TZM3,ENSP00000355299
Q9BYS1,ENSP00000355302
Q9UQ07,ENSP00000355304
Q8IYL3,ENSP00000355306
B0YJ81,ENSP00000355308
P62891,ENSP00000355315
Q14832,ENSP00000355316
Q9C0C6,ENSP00000355319
P28074,ENSP00000355325
P21980,ENSP00000355330
Q9NRW3,ENSP00000355340
O60248,ENSP00000355354
Q08722,ENSP00000355361
P26441,ENSP00000355370
Q9UJX0,ENSP00000355374
O95154,ENSP00000355377
Q86WA9,ENSP00000355384
Q96D70,ENSP00000355385
Q8TAC9,ENSP00000355387
Q99549,ENSP00000355388
O94898,ENSP00000355396
Q6UXK2,ENSP00000355402
Q9BZA8,ENSP00000355419
Q6NT46,ENSP00000355421
Q7L8J4,ENSP00000355428
A3KFT3,ENSP00000355432
Q8NG06,ENSP00000355437
Q96R54,ENSP00000355441
Q9BS34,ENSP00000355459
Q8WYP5,ENSP00000355465
Q8NBX0,ENSP00000355467
Q6PJW8,ENSP00000355470
Q9H5Q4,ENSP00000355471
Q5VUJ9,ENSP00000355480
Q5RI15,ENSP00000355486
Q5SY80,ENSP00000355492
P30520,ENSP00000355493
Q86SQ7,ENSP00000355499
Q5SW79,ENSP00000355500
Q9UQ84,ENSP00000355506
B1ANS9,ENSP00000355510
P26374,ENSP00000355511
Q9H1Y3,ENSP00000355512
O15229,ENSP00000355517
P07954,ENSP00000355518
P49802,ENSP00000355523
Q92736,ENSP00000355533
Q99707,ENSP00000355536
P35609,ENSP00000355537
Q9H583,ENSP00000355541
O60478,ENSP00000355551
Q8NCR0,ENSP00000355559
Q15388,ENSP00000355566
Q7Z5L9,ENSP00000355568
Q5JTJ3,ENSP00000355574
Q8IY50,ENSP00000355577
O00180,ENSP00000355580
Q5TCX8,ENSP00000355583
Q9BSD7,ENSP00000355587
Q9P2F8,ENSP00000355589
Q99598,ENSP00000355599
Q9GZT9,ENSP00000355601
Q8IYI6,ENSP00000355605
O15228,ENSP00000355607
Q8NDD1,ENSP00000355609
Q6ZTA4,ENSP00000355613
Q96GI7,ENSP00000355614
Q8NBP0,ENSP00000355621
Q9H425,ENSP00000355623
P01019,ENSP00000355627
Q14746,ENSP00000355629
P32242,ENSP00000355631
Q10471,ENSP00000355632
Q9NRK6,ENSP00000355637
P68133,ENSP00000355645
P20338,ENSP00000355651
Q7L0Q8,ENSP00000355652
Q7L7L0,ENSP00000355656
Q16695,ENSP00000355657
Q9Y577,ENSP00000355658
Q5T440,ENSP00000355672
Q5T442,ENSP00000355675
Q16774,ENSP00000355689
O00548,ENSP00000355718
A1L453,ENSP00000355719
Q5VT25,ENSP00000355731
Q5T6L9,ENSP00000355735
Q8IZS6,ENSP00000355736
P49810,ENSP00000355747
P35442,ENSP00000355751
Q69YW2,ENSP00000355752
P09874,ENSP00000355759
Q5SW24,ENSP00000355760
A8MQ02,ENSP00000355771
Q9H3P7,ENSP00000355777
P84243,ENSP00000355780
O00292,ENSP00000355785
O00270,ENSP00000355799
O94886,ENSP00000355800
Q8N8S7,ENSP00000355809
O95684,ENSP00000355812
Q9NVF7,ENSP00000355827
A6NHC0,ENSP00000355837
Q8N715,ENSP00000355840
A0AAA9X175,ENSP00000355847
O60260,ENSP00000355865
Q9Y6W6,ENSP00000355866
Q14774,ENSP00000355870
Q5VT66,ENSP00000355877
Q969Z3,ENSP00000355880
Q9NSE4,ENSP00000355889
P07814,ENSP00000355890
Q6XR72,ENSP00000355893
Q5VWZ2,ENSP00000355895
P61812,ENSP00000355896
Q9Y3B9,ENSP00000355899
Q96L03,ENSP00000355900
Q9NW75,ENSP00000355902
P62508,ENSP00000355904
O15244,ENSP00000355920
P49454,ENSP00000355922
Q15678,ENSP00000355923
Q9NRG4,ENSP00000355924
Q92786,ENSP00000355925
Q96S38,ENSP00000355927
Q5VTE6,ENSP00000355929
O15245,ENSP00000355930
Q9Y5Y0,ENSP00000355938
Q96IY1,ENSP00000355944
Q9UMX5,ENSP00000355955
Q9NZJ0,ENSP00000355958
Q9NVH2,ENSP00000355961
Q92604,ENSP00000355964
P51955,ENSP00000355966
Q9Y6M5,ENSP00000355968
Q7Z3Z2,ENSP00000355969
Q9NUC0,ENSP00000355979
O14896,ENSP00000355988
Q9Y228,ENSP00000355991
P28845,ENSP00000355995
P27469,ENSP00000355996
O75051,ENSP00000356000
Q9H0U6,ENSP00000356001
Q9BWD1,ENSP00000356015
E9PDY4,ENSP00000356016
P20023,ENSP00000356024
B1AP13,ENSP00000356030
Q8N103,ENSP00000356033
P04003,ENSP00000356037
O60825,ENSP00000356047
P63172,ENSP00000356056
Q9P2C4,ENSP00000356057
O60667,ENSP00000356058
Q9NRJ4,ENSP00000356064
Q9NYY1,ENSP00000356065
P49137,ENSP00000356070
O43781,ENSP00000356076
Q6ZWK4,ENSP00000356093
P47901,ENSP00000356094
Q5TYM5,ENSP00000356096
Q7LBE3,ENSP00000356102
Q6GTS8,ENSP00000356104
Q8IVJ1,ENSP00000356105
O14966,ENSP00000356107
Q9H1E3,ENSP00000356110
Q96JT2,ENSP00000356113
Q8N468,ENSP00000356115
Q68G75,ENSP00000356121
Q8IYD2,ENSP00000356124
Q6XUX3,ENSP00000356130
P56880,ENSP00000356133
Q8WVM0,ENSP00000356134
Q6P7N7,ENSP00000356135
O75325,ENSP00000356143
O15151,ENSP00000356150
O00750,ENSP00000356155
Q5SWA1,ENSP00000356156
Q15726,ENSP00000356162
Q9NVF9,ENSP00000356169
Q9UN79,ENSP00000356172
Q9UBM4,ENSP00000356191
Q13231,ENSP00000356198
Q9UGC7,ENSP00000356202
P30542,ENSP00000356205
Q8IXX5,ENSP00000356211
P01282,ENSP00000356213
Q8N699,ENSP00000356214
Q9UHQ9,ENSP00000356218
Q8NF91,ENSP00000356224
Q53G59,ENSP00000356230
P47224,ENSP00000356231
Q9UGL1,ENSP00000356233
Q8N9I0,ENSP00000356237
Q9HBX8,ENSP00000356247
O60883,ENSP00000356251
Q99595,ENSP00000356256
P29536,ENSP00000356257
Q9H993,ENSP00000356263
Q8NEY1,ENSP00000356265
P21291,ENSP00000356275
Q9Y5J5,ENSP00000356280
B1ALM5,ENSP00000356301
Q9BZM4,ENSP00000356308
Q5VY80,ENSP00000356310
Q15058,ENSP00000356319
Q9BZM5,ENSP00000356320
Q6H3X3,ENSP00000356329
O00482,ENSP00000356331
Q8TDX7,ENSP00000356355
Q9NQ69,ENSP00000356357
Q5VUE5,ENSP00000356363
P82279,ENSP00000356370
Q5SVQ8,ENSP00000356375
Q8IZT6,ENSP00000356379
O75449,ENSP00000356381
P05160,ENSP00000356382
P36980,ENSP00000356385
Q92496,ENSP00000356386
Q9NU53,ENSP00000356389
Q02985,ENSP00000356395
P08603,ENSP00000356399
O43825,ENSP00000356404
Q6P1J9,ENSP00000356405
Q9NS18,ENSP00000356410
P10155,ENSP00000356416
Q5LJA5,ENSP00000356421
Q9NYJ8,ENSP00000356426
Q08116,ENSP00000356429
Q9NS28,ENSP00000356430
Q76B58,ENSP00000356432
Q9Y2C2,ENSP00000356433
P47712,ENSP00000356436
O94885,ENSP00000356437
P35354,ENSP00000356438
Q5TGI4,ENSP00000356444
P12270,ENSP00000356448
Q13637,ENSP00000356465
Q9Y6Y0,ENSP00000356468
Q5T5J6,ENSP00000356470
Q7Z2T5,ENSP00000356476
Q99496,ENSP00000356480
Q9BZQ8,ENSP00000356481
O95278,ENSP00000356489
P19878,ENSP00000356505
P46939,ENSP00000356515
Q9BZQ2,ENSP00000356518
Q08211,ENSP00000356520
O15492,ENSP00000356529
Q05823,ENSP00000356530
Q5T9Z0,ENSP00000356536
O75558,ENSP00000356540
Q9BWJ5,ENSP00000356541
Q15878,ENSP00000356545
Q96GA3,ENSP00000356548
Q5VY09,ENSP00000356549
Q5VZ46,ENSP00000356560
Q9UBH6,ENSP00000356562
P56589,ENSP00000356563
O00391,ENSP00000356574
P31629,ENSP00000356576
Q5VT06,ENSP00000356579
Q86SQ4,ENSP00000356581
Q8NFQ8,ENSP00000356584
Q9NP85,ENSP00000356587
Q5T1B0,ENSP00000356590
P35610,ENSP00000356591
Q9H497,ENSP00000356599
Q9NP79,ENSP00000356602
Q86X27,ENSP00000356607
Q9UJF2,ENSP00000356621
Q9UBI9,ENSP00000356630
Q9P1F3,ENSP00000356632
Q9BXP8,ENSP00000356634
Q8NHY2,ENSP00000356641
Q92752,ENSP00000356646
Q9HB71,ENSP00000356652
Q9Y2T5,ENSP00000356658
Q5TC82,ENSP00000356669
P01008,ENSP00000356671
Q5TC79,ENSP00000356674
Q5TAH2,ENSP00000356687
P48023,ENSP00000356694
Q9UBS9,ENSP00000356696
O95561,ENSP00000356700
Q92535,ENSP00000356702
Q7RTU3,ENSP00000356708
P15260,ENSP00000356713
P31512,ENSP00000356723
P31513,ENSP00000356729
Q5TGP6,ENSP00000356733
Q5T7V8,ENSP00000356737
Q8IZE3,ENSP00000356746
P12259,ENSP00000356771
Q5TID7,ENSP00000356780
Q9H2G9,ENSP00000356782
Q9Y5B8,ENSP00000356785
P05026,ENSP00000356790
Q07507,ENSP00000356791
P47992,ENSP00000356792
Q9UBD3,ENSP00000356793
O60806,ENSP00000356795
O75663,ENSP00000356807
Q9Y450,ENSP00000356811
Q58WW2,ENSP00000356814
Q96PN6,ENSP00000356825
Q6JBY9,ENSP00000356828
O00141,ENSP00000356832
P14859,ENSP00000356840
Q99795,ENSP00000356842
Q96JY0,ENSP00000356846
Q96BN2,ENSP00000356848
Q9P215,ENSP00000356849
Q9BZX2,ENSP00000356853
O43680,ENSP00000356857
O14880,ENSP00000356864
Q86UF4,ENSP00000356886
Q16832,ENSP00000356899
O95497,ENSP00000356905
O14796,ENSP00000356906
Q9P1P5,ENSP00000356908
Q5T0L3,ENSP00000356912
F2Z3N3,ENSP00000356917
O15400,ENSP00000356918
P18850,ENSP00000356919
Q9UNI6,ENSP00000356920
Q6BAA4,ENSP00000356925
Q7L513,ENSP00000356936
Q6UVY6,ENSP00000356940
Q5VTH2,ENSP00000356951
Q99643,ENSP00000356953
P29279,ENSP00000356954
Q14994,ENSP00000356959
Q969M1,ENSP00000356967
P02652,ENSP00000356969
O75306,ENSP00000356972
O75173,ENSP00000356975
P50336,ENSP00000356978
Q9UK80,ENSP00000356981
Q9Y3C8,ENSP00000356982
B1AQP5,ENSP00000356984
Q86X76,ENSP00000356988
Q9UHV9,ENSP00000356989
Q8NEP7,ENSP00000356990
Q96NY8,ENSP00000356991
Q7Z6I6,ENSP00000356992
P22415,ENSP00000357000
Q9Y624,ENSP00000357005
Q8WWU7,ENSP00000357008
Q9BZW8,ENSP00000357012
Q9NQ25,ENSP00000357022
Q96DU3,ENSP00000357036
Q9ULK5,ENSP00000357040
Q9ULK4,ENSP00000357047
P53621,ENSP00000357048
P40855,ENSP00000357051
Q5TAQ9,ENSP00000357052
Q15121,ENSP00000357055
P31415,ENSP00000357057
Q13733,ENSP00000357060
Q969P0,ENSP00000357065
Q92806,ENSP00000357067
Q9H3S5,ENSP00000357069
Q96A28,ENSP00000357072
Q9P2J2,ENSP00000357073
P37802,ENSP00000357076
Q9UL16,ENSP00000357079
P0DPA2,ENSP00000357080
Q6DN72,ENSP00000357086
Q9BVJ7,ENSP00000357087
P12319,ENSP00000357097
Q16570,ENSP00000357103
Q8N126,ENSP00000357106
O43491,ENSP00000357110
O14862,ENSP00000357112
Q16666,ENSP00000357113
Q96JM7,ENSP00000357118
Q6K0P9,ENSP00000357122
P41218,ENSP00000357123
Q5VVB8,ENSP00000357125
A0A0C4DFU5,ENSP00000357127
Q8N392,ENSP00000357131
P15812,ENSP00000357149
P29016,ENSP00000357150
P29017,ENSP00000357152
O43866,ENSP00000357156
Q96LA6,ENSP00000357158
Q96P31,ENSP00000357169
P41162,ENSP00000357175
O15085,ENSP00000357177
P14616,ENSP00000357178
P51858,ENSP00000357189
Q96FB5,ENSP00000357199
P48681,ENSP00000357206
Q8NCW5,ENSP00000357218
A2A3L6,ENSP00000357219
Q96A04,ENSP00000357238
P02818,ENSP00000357255
Q6P1K2,ENSP00000357256
Q9H3S1,ENSP00000357265
P02545,ENSP00000357283
Q9Y2Q5,ENSP00000357288
Q9NRR5,ENSP00000357292
Q9NTX7,ENSP00000357297
Q8TDU9,ENSP00000357301
Q7Z7F0,ENSP00000357304
Q92963,ENSP00000357305
Q9BT88,ENSP00000357307
Q5EE01,ENSP00000357308
Q3T8J9,ENSP00000357315
P51398,ENSP00000357320
Q9H869,ENSP00000357323
Q9BVN2,ENSP00000357336
Q9P1Z3,ENSP00000357342
P49760,ENSP00000357345
Q9UBP5,ENSP00000357348
Q13505,ENSP00000357360
P49746,ENSP00000357362
Q9P2X0,ENSP00000357384
Q9BRV3,ENSP00000357389
P20827,ENSP00000357392
P52797,ENSP00000357393
Q5VXU1,ENSP00000357402
Q5T1A1,ENSP00000357409
Q92484,ENSP00000357425
Q03933,ENSP00000357440
Q9BRQ0,ENSP00000357442
Q96AQ6,ENSP00000357448
Q15126,ENSP00000357452
P33908,ENSP00000357453
P55265,ENSP00000357459
P17787,ENSP00000357461
Q5VZ19,ENSP00000357465
P08887,ENSP00000357470
Q5SZL2,ENSP00000357474
Q96E22,ENSP00000357480
Q9HD26,ENSP00000357484
P08922,ENSP00000357494
Q9BWL3,ENSP00000357507
Q5VU69,ENSP00000357511
P30084,ENSP00000357535
H7BY64,ENSP00000357542
Q5T6X4,ENSP00000357545
Q5VU65,ENSP00000357547
O15131,ENSP00000357552
O95231,ENSP00000357556
P51153,ENSP00000357564
Q96AP4,ENSP00000357565
Q8IYW2,ENSP00000357575
Q9C056,ENSP00000357581
Q14642,ENSP00000357583
Q8N5C1,ENSP00000357588
Q5T215,ENSP00000357591
Q5R3K3,ENSP00000357594
Q9H0U9,ENSP00000357597
Q9C0I9,ENSP00000357603
Q9NY26,ENSP00000357612
Q53ET0,ENSP00000357622
Q12983,ENSP00000357625
Q5VWI1,ENSP00000357631
O76003,ENSP00000357633
Q9H4W6,ENSP00000357637
P46013,ENSP00000357643
Q8WXI9,ENSP00000357644
Q4G0N7,ENSP00000357645
Q9UJT0,ENSP00000357651
O95389,ENSP00000357655
Q8NCR9,ENSP00000357660
O43184,ENSP00000357668
P16066,ENSP00000357669
O95295,ENSP00000357674
Q9Y3Y2,ENSP00000357679
Q8TC84,ENSP00000357682
Q9HCY8,ENSP00000357691
Q96FQ6,ENSP00000357695
P33764,ENSP00000357702
P26447,ENSP00000357704
P33763,ENSP00000357707
P06703,ENSP00000357709
P31151,ENSP00000357711
Q86SG5,ENSP00000357718
P05109,ENSP00000357721
P80511,ENSP00000357726
P06702,ENSP00000357727
P23490,ENSP00000357731
Q5T870,ENSP00000357733
Q5T871,ENSP00000357736
Q9BYE4,ENSP00000357737
P22531,ENSP00000357740
P35325,ENSP00000357744
P22532,ENSP00000357746
Q9P287,ENSP00000357748
P35321,ENSP00000357751
P07476,ENSP00000357753
P49901,ENSP00000357754
Q5T753,ENSP00000357759
Q5T750,ENSP00000357764
Q5TA78,ENSP00000357766
Q5TA79,ENSP00000357768
O14633,ENSP00000357769
Q5TA81,ENSP00000357772
Q5TA82,ENSP00000357773
Q9BYE3,ENSP00000357776
Q5T5B0,ENSP00000357778
Q9UGL9,ENSP00000357779
P10746,ENSP00000357787
P20930,ENSP00000357789
Q86YZ3,ENSP00000357791
Q5QJ38,ENSP00000357796
Q8N119,ENSP00000357798
P60903,ENSP00000357801
Q5T1C6,ENSP00000357804
Q8N1Q8,ENSP00000357807
Q6UY18,ENSP00000357810
Q5VZQ5,ENSP00000357811
Q9Y2W6,ENSP00000357812
Q9BYD2,ENSP00000357823
Q5JPI9,ENSP00000357829
Q9H008,ENSP00000357835
P04181,ENSP00000357838
Q9NNX1,ENSP00000357842
Q8TF71,ENSP00000357844
O43684,ENSP00000357858
Q969F1,ENSP00000357863
A0A0B4J1S8,ENSP00000357869
P45954,ENSP00000357873
Q5VWC4,ENSP00000357876
Q9H5V7,ENSP00000357881
Q99755,ENSP00000357883
A6NFZ4,ENSP00000357889
Q8N5W8,ENSP00000357894
Q9BWG6,ENSP00000357901
Q96S90,ENSP00000357904
Q9UGM3,ENSP00000357905
Q6P589,ENSP00000357906
Q9BWU1,ENSP00000357907
Q9H3T2,ENSP00000357909
Q8TAK5,ENSP00000357914
Q86VW1,ENSP00000357915
Q13015,ENSP00000357917
Q99489,ENSP00000357920
Q9BUN1,ENSP00000357922
Q7Z465,ENSP00000357927
O60508,ENSP00000357928
O76027,ENSP00000357943
E5RFY4,ENSP00000357966
Q8WV93,ENSP00000357973
Q9Y466,ENSP00000357979
Q92743,ENSP00000357980
P25774,ENSP00000357981
Q9HB21,ENSP00000357986
Q9UGP8,ENSP00000357998
O95359,ENSP00000358001
Q8N228,ENSP00000358016
Q9NXX6,ENSP00000358019
Q07820,ENSP00000358022
Q86YH6,ENSP00000358033
Q6UY14,ENSP00000358035
Q9H0R6,ENSP00000358042
Q16610,ENSP00000358045
Q8WWV3,ENSP00000358059
Q9BW92,ENSP00000358060
Q5VT52,ENSP00000358064
Q9Y6Y8,ENSP00000358071
Q9H1Y0,ENSP00000358072
O95817,ENSP00000358081
Q01085,ENSP00000358089
O75626,ENSP00000358092
Q8WWF1,ENSP00000358098
O43665,ENSP00000358099
Q96BI3,ENSP00000358105
Q9ULX7,ENSP00000358107
Q53GL0,ENSP00000358120
Q14152,ENSP00000358140
Q7L0J3,ENSP00000358142
Q86Y37,ENSP00000358147
Q9Y3E2,ENSP00000358149
Q16778,ENSP00000358151
Q71DI3,ENSP00000358154
Q6FI13,ENSP00000358155
Q8N3C0,ENSP00000358159
P68431,ENSP00000358160
P12314,ENSP00000358165
Q9H8W3,ENSP00000358183
Q7L804,ENSP00000358200
Q5SQQ9,ENSP00000358207
P81133,ENSP00000358210
Q9H4Q3,ENSP00000358217
P16233,ENSP00000358223
Q17RR3,ENSP00000358232
P0CG08,ENSP00000358233
P48165,ENSP00000358238
Q9UKA2,ENSP00000358247
Q5W0V3,ENSP00000358251
Q86WJ1,ENSP00000358262
Q96NJ5,ENSP00000358265
Q9P032,ENSP00000358272
O94874,ENSP00000358283
O95971,ENSP00000358294
P08588,ENSP00000358301
Q8NBF2,ENSP00000358307
Q15375,ENSP00000358309
O75578,ENSP00000358310
O96011,ENSP00000358312
Q5SXH7,ENSP00000358316
Q9BT43,ENSP00000358320
A0A0A0MRL7,ENSP00000358327
O43318,ENSP00000358335
Q969M2,ENSP00000358358
Q5VU43,ENSP00000358363
A0A0A0MRM2,ENSP00000358365
Q99590,ENSP00000358374
Q86X60,ENSP00000358397
Q9NU22,ENSP00000358400
Q9UKF2,ENSP00000358407
Q9H6R6,ENSP00000358413
P54868,ENSP00000358414
P14060,ENSP00000358421
Q9NQL2,ENSP00000358423
Q96SF7,ENSP00000358437
Q9NXN4,ENSP00000358451
Q5VWP2,ENSP00000358458
O15247,ENSP00000358460
Q9UQ13,ENSP00000358464
Q96DA2,ENSP00000358466
Q7Z7D3,ENSP00000358470
P46736,ENSP00000358474
Q9UNY4,ENSP00000358478
Q93033,ENSP00000358482
P56278,ENSP00000358488
P06729,ENSP00000358490
O75054,ENSP00000358495
P56277,ENSP00000358496
O60942,ENSP00000358497
P19256,ENSP00000358501
Q9BWH2,ENSP00000358510
Q8N8X9,ENSP00000358512
P21554,ENSP00000358513
Q8IZD6,ENSP00000358515
P23610,ENSP00000358518
Q02577,ENSP00000358519
P01138,ENSP00000358525
O60636,ENSP00000358529
Q5T481,ENSP00000358532
Q15431,ENSP00000358535
Q9BRV8,ENSP00000358541
A6NGZ8,ENSP00000358542
Q00013,ENSP00000358547
P01111,ENSP00000358548
Q5T160,ENSP00000358549
O75934,ENSP00000358554
O60832,ENSP00000358563
P78382,ENSP00000358565
Q8IYR0,ENSP00000358575
Q9Y6B7,ENSP00000358582
O60281,ENSP00000358590
Q16690,ENSP00000358596
O75940,ENSP00000358616
Q9UMS5,ENSP00000358617
O60506,ENSP00000358635
Q7Z5A8,ENSP00000358644
P11441,ENSP00000358674
O95935,ENSP00000358677
Q7L1T6,ENSP00000358695
P51805,ENSP00000358696
Q93097,ENSP00000358698
Q5TAB7,ENSP00000358703
Q8N3Z0,ENSP00000358714
Q9UPU3,ENSP00000358715
Q9UHI6,ENSP00000358716
Q5T655,ENSP00000358718
P48163,ENSP00000358719
P62834,ENSP00000358723
P78417,ENSP00000358727
P0DMS9,ENSP00000358730
P24539,ENSP00000358737
Q9UIY3,ENSP00000358739
Q86XK3,ENSP00000358742
Q12889,ENSP00000358747
Q8TCI5,ENSP00000358753
Q9BZP6,ENSP00000358755
Q7Z6J8,ENSP00000358762
Q13641,ENSP00000358765
Q9H2G2,ENSP00000358770
Q15904,ENSP00000358777
Q5T3J3,ENSP00000358778
P48146,ENSP00000358783
P22001,ENSP00000358784
Q16322,ENSP00000358786
O15374,ENSP00000358794
O76050,ENSP00000358795
Q86XJ0,ENSP00000358798
Q96T37,ENSP00000358799
Q03721,ENSP00000358802
Q5VSL9,ENSP00000358810
Q14690,ENSP00000358812
P33981,ENSP00000358813
O43865,ENSP00000358814
A8MQ27,ENSP00000358815
Q8TE67,ENSP00000358820
P49184,ENSP00000358824
Q9GZR5,ENSP00000358831
Q96IX5,ENSP00000358840
Q03013,ENSP00000358851
Q9UJC5,ENSP00000358853
Q15542,ENSP00000358854
P50402,ENSP00000358857
Q9BYE7,ENSP00000358862
Q16352,ENSP00000358865
P21333,ENSP00000358866
P08754,ENSP00000358867
Q86WK6,ENSP00000358880
Q8N8Q1,ENSP00000358884
Q5T6C5,ENSP00000358886
Q5VXT5,ENSP00000358888
Q9H8M5,ENSP00000358894
Q9HBK9,ENSP00000358896
Q9BYL1,ENSP00000358902
P05093,ENSP00000358903
Q96KM6,ENSP00000358904
Q96NB2,ENSP00000358909
Q9UMX1,ENSP00000358918
P61163,ENSP00000358921
Q6PGN9,ENSP00000358925
P51854,ENSP00000358931
Q9H3Z7,ENSP00000358932
Q5T5C7,ENSP00000358939
P0DN77,ENSP00000358945
Q9H467,ENSP00000358953
Q6UXG2,ENSP00000358955
Q5VVH5,ENSP00000358956
P28222,ENSP00000358963
